"PERSON_ID","FINAL_PARENT_OKATO_NAME"
309,"Липецкая область"
310,"Республика Хакасия"
311,"Москва"
312,"Москва"
313,"Вологодская область"
314,"Москва"
315,"Краснодарский край"
316,"Новосибирская область"
317,"Томская область"
318,"Оренбургская область"
319,"Свердловская область"
320,"Краснодарский край"
321,"Тульская область"
322,"Новосибирская область"
323,"Новосибирская область"
324,"Москва"
325,"Республика Башкортостан"
326,"Удмуртская Республика"
327,"Удмуртская Республика"
328,"Омская область"
329,"Республика Северная Осетия-Алания"
330,
331,"Москва"
332,"Республика Хакасия"
333,"Архангельская область"
334,"Владимирская область"
335,"Москва"
336,"Москва"
337,"Москва"
338,"Новосибирская область"
339,"Республика Татарстан"
340,"Республика Татарстан"
341,"Республика Башкортостан"
342,"Омская область"
343,
344,"Краснодарский край"
345,"Калужская область"
346,"Калужская область"
347,"Удмуртская Республика"
348,"Курганская область"
349,
350,"Ярославская область"
351,"Воронежская область"
352,"Самарская область"
353,"Липецкая область"
354,"Ивановская область"
355,"Республика Башкортостан"
356,"Новосибирская область"
357,"Удмуртская Республика"
358,"Новосибирская область"
359,"Томская область"
360,"Москва"
361,"Тверская область"
362,"Пермский край"
363,"Самарская область"
364,"Курганская область"
365,"Москва"
366,"Орловская область"
367,"Воронежская область"
368,"Краснодарский край"
369,"Москва"
370,"Новосибирская область"
371,"Оренбургская область"
372,
373,
374,"Хабаровский край"
375,"Оренбургская область"
376,"Республика Хакасия"
377,"Новосибирская область"
378,"Курганская область"
379,"Москва"
380,"Республика Татарстан"
381,"Тверская область"
382,"Калужская область"
383,"Свердловская область"
384,"Смоленская область"
385,"Челябинская область"
386,"Брянская область"
387,"Республика Башкортостан"
388,"Красноярский край"
389,"Республика Башкортостан"
390,"Хабаровский край"
391,"Республика Татарстан"
392,"Свердловская область"
393,"Московская область"
394,"Москва"
395,"Красноярский край"
396,
397,"Свердловская область"
398,"Чувашская Республика - Чувашия"
399,"Ростовская область"
400,"Краснодарский край"
401,"Санкт-Петербург"
402,"Волгоградская область"
403,"Москва"
404,"Удмуртская Республика"
405,"Москва"
406,"Москва"
407,"Москва"
408,"Астраханская область"
409,"Астраханская область"
410,"Новосибирская область"
411,"Республика Саха"
412,"Иркутская область"
413,"Свердловская область"
414,"Свердловская область"
415,"Пермский край"
416,"Краснодарский край"
417,"Ростовская область"
418,"Воронежская область"
419,"Свердловская область"
420,"Москва"
421,"Самарская область"
422,"Ростовская область"
423,"Свердловская область"
424,"Оренбургская область"
425,"Астраханская область"
426,"Москва"
427,"Москва"
428,"Липецкая область"
429,"Тюменская область"
430,"Вологодская область"
431,"Вологодская область"
432,"Чувашская Республика - Чувашия"
433,"Орловская область"
434,"Москва"
435,"Москва"
436,
437,"Москва"
438,"Москва"
439,"Москва"
440,"Архангельская область"
441,"Республика Карелия"
442,"Республика Саха"
443,"Вологодская область"
444,"Вологодская область"
445,"Алтайский край"
446,"Вологодская область"
447,"Москва"
448,"Амурская область"
449,"Москва"
450,"Краснодарский край"
451,
452,"Москва"
453,"Калужская область"
454,"Московская область"
455,"Краснодарский край"
456,"Саратовская область"
457,"Москва"
458,"Москва"
459,"Московская область"
460,"Мурманская область"
461,"Самарская область"
462,
463,"Тамбовская область"
464,"Воронежская область"
465,"Республика Адыгея"
466,"Волгоградская область"
467,"Ростовская область"
468,"Республика Башкортостан"
469,"Новосибирская область"
470,"Удмуртская Республика"
471,"Свердловская область"
472,"Архангельская область"
473,"Тюменская область"
474,"Республика Коми"
475,"Санкт-Петербург"
476,"Москва"
477,"Новосибирская область"
478,"Омская область"
479,"Самарская область"
480,"Смоленская область"
481,"Москва"
482,"Липецкая область"
483,"Москва"
484,"Москва"
485,"Ивановская область"
486,"Красноярский край"
487,"Москва"
488,"Москва"
489,"Ростовская область"
490,"Тверская область"
491,"Москва"
492,"Ростовская область"
493,"Москва"
494,"Москва"
495,"Нижегородская область"
496,"Москва"
497,"Республика Карелия"
498,"Тюменская область"
499,"Архангельская область"
500,"Красноярский край"
501,"Алтайский край"
502,"Москва"
503,"Ленинградская область"
504,"Республика Башкортостан"
505,"Тверская область"
506,"Новосибирская область"
507,"Республика Карелия"
508,"Краснодарский край"
509,"Москва"
510,"Новосибирская область"
511,"Свердловская область"
512,"Московская область"
513,"Нижегородская область"
514,"Ростовская область"
515,"Самарская область"
516,"Самарская область"
517,"Ставропольский край"
518,"Москва"
519,"Новосибирская область"
520,"Ярославская область"
521,"Алтайский край"
522,"Чувашская Республика - Чувашия"
523,"Хабаровский край"
524,"Брянская область"
525,"Новгородская область"
526,"Ростовская область"
527,"Республика Коми"
528,"Тульская область"
529,"Москва"
530,"Архангельская область"
531,"Саратовская область"
532,"Вологодская область"
533,"Ставропольский край"
534,"Республика Хакасия"
535,"Алтайский край"
536,"Кировская область"
537,"Сахалинская область"
538,"Архангельская область"
539,"Челябинская область"
540,"Республика Башкортостан"
541,"Челябинская область"
542,"Вологодская область"
543,"Оренбургская область"
544,"Новосибирская область"
545,"Московская область"
546,"Москва"
547,"Воронежская область"
548,"Москва"
549,"Вологодская область"
550,"Москва"
551,"Кировская область"
552,"Воронежская область"
553,"Астраханская область"
554,"Воронежская область"
555,"Воронежская область"
556,"Удмуртская Республика"
557,"Чувашская Республика - Чувашия"
558,"Республика Башкортостан"
559,"Челябинская область"
560,"Тверская область"
561,"Калининградская область"
562,"Вологодская область"
563,"Вологодская область"
564,"Саратовская область"
565,
566,"Республика Коми"
567,"Пермский край"
568,"Свердловская область"
569,"Оренбургская область"
570,"Свердловская область"
571,
572,"Липецкая область"
573,"Республика Татарстан"
574,"Свердловская область"
575,"Челябинская область"
576,"Воронежская область"
577,"Москва"
578,"Республика Башкортостан"
579,"Тульская область"
580,"Санкт-Петербург"
581,"Владимирская область"
582,"Ростовская область"
583,"Ивановская область"
584,"Москва"
585,"Самарская область"
586,"Ростовская область"
587,
588,"Самарская область"
589,"Московская область"
590,"Республика Башкортостан"
591,"Архангельская область"
592,"Ростовская область"
593,"Республика Коми"
594,
595,"Пермский край"
596,"Ставропольский край"
597,"Ивановская область"
598,"Москва"
599,"Кировская область"
600,"Тюменская область"
601,"Ростовская область"
602,"Омская область"
603,"Республика Алтай"
604,
605,"Тюменская область"
606,"Москва"
607,"Новосибирская область"
608,"Орловская область"
609,
610,"Новосибирская область"
611,"Санкт-Петербург"
612,"Тверская область"
613,"Нижегородская область"
614,"Белгородская область"
615,"Свердловская область"
616,"Хабаровский край"
617,"Оренбургская область"
618,
619,"Москва"
620,"Иркутская область"
621,"Чувашская Республика - Чувашия"
622,"Саратовская область"
623,"Тульская область"
624,"Москва"
625,"Удмуртская Республика"
626,"Республика Хакасия"
627,"Челябинская область"
628,"Иркутская область"
629,"Новосибирская область"
630,"Алтайский край"
631,"Новосибирская область"
632,"Курская область"
633,"Новосибирская область"
634,"Забайкальский край"
635,"Республика Саха"
636,"Челябинская область"
637,"Республика Хакасия"
638,"Челябинская область"
639,"Иркутская область"
640,"Республика Хакасия"
641,"Ростовская область"
642,"Москва"
643,"Кировская область"
644,"Москва"
645,"Новосибирская область"
646,"Свердловская область"
647,"Тюменская область"
648,"Республика Адыгея"
649,"Республика Адыгея"
650,"Республика Коми"
651,"Республика Адыгея"
652,"Республика Хакасия"
653,"Республика Адыгея"
654,"Свердловская область"
655,
656,"Краснодарский край"
657,"Иркутская область"
658,"Мурманская область"
659,"Тюменская область"
660,"Воронежская область"
661,"Владимирская область"
662,"Ростовская область"
663,"Краснодарский край"
664,"Краснодарский край"
665,"Оренбургская область"
666,"Нижегородская область"
667,"Краснодарский край"
668,"Новосибирская область"
669,"Республика Хакасия"
670,"Брянская область"
671,"Кировская область"
672,"Алтайский край"
673,"Республика Хакасия"
674,"Красноярский край"
675,"Удмуртская Республика"
676,"Удмуртская Республика"
677,"Чувашская Республика - Чувашия"
678,"Ростовская область"
679,"Республика Башкортостан"
680,"Новосибирская область"
681,"Самарская область"
682,"Владимирская область"
683,"Калужская область"
684,"Республика Татарстан"
685,"Республика Татарстан"
686,"Свердловская область"
687,"Свердловская область"
688,"Владимирская область"
689,"Волгоградская область"
690,"Новосибирская область"
691,"Республика Карелия"
692,"Тюменская область"
693,"Краснодарский край"
694,"Ставропольский край"
695,"Свердловская область"
696,"Санкт-Петербург"
697,"Ярославская область"
698,"Москва"
699,"Республика Карелия"
700,"Чувашская Республика - Чувашия"
701,"Республика Северная Осетия-Алания"
702,"Москва"
703,"Рязанская область"
704,"Хабаровский край"
705,"Ростовская область"
706,"Москва"
707,
708,"Ярославская область"
709,"Свердловская область"
710,"Москва"
711,"Московская область"
712,"Республика Хакасия"
713,"Свердловская область"
714,"Чувашская Республика - Чувашия"
715,"Липецкая область"
716,"Свердловская область"
717,"Чувашская Республика - Чувашия"
718,"Москва"
719,"Москва"
720,"Пермский край"
721,"Новосибирская область"
722,"Архангельская область"
723,"Московская область"
724,"Санкт-Петербург"
725,"Москва"
726,"Воронежская область"
727,"Нижегородская область"
728,"Липецкая область"
729,"Ростовская область"
730,"Красноярский край"
731,"Республика Тыва"
732,"Республика Тыва"
733,"Москва"
734,"Ростовская область"
735,"Ростовская область"
736,"Алтайский край"
737,"Сахалинская область"
738,"Тверская область"
739,"Москва"
740,"Алтайский край"
741,"Псковская область"
742,"Самарская область"
743,"Магаданская область"
744,"Краснодарский край"
745,"Краснодарский край"
746,"Тамбовская область"
747,"Москва"
748,"Ростовская область"
749,"Московская область"
750,"Саратовская область"
751,"Санкт-Петербург"
752,"Республика Хакасия"
753,"Курская область"
754,"Мурманская область"
755,"Республика Карелия"
756,"Томская область"
757,"Самарская область"
758,"Республика Саха"
759,"Москва"
760,"Краснодарский край"
761,"Ивановская область"
762,"Кабардино-Балкарская Республика"
763,"Иркутская область"
764,"Хабаровский край"
765,"Нижегородская область"
766,"Саратовская область"
767,"Владимирская область"
768,"Липецкая область"
769,"Москва"
770,"Республика Карелия"
771,"Камчатский край"
772,"Москва"
773,"Астраханская область"
774,"Москва"
775,"Архангельская область"
776,"Свердловская область"
777,"Кировская область"
778,
779,"Алтайский край"
780,"Архангельская область"
781,"Москва"
782,"Самарская область"
783,"Пермский край"
784,"Алтайский край"
785,"Москва"
786,"Свердловская область"
787,"Республика Хакасия"
788,"Московская область"
789,"Москва"
790,"Кемеровская область"
791,"Тамбовская область"
792,"Тверская область"
793,"Республика Крым"
794,"Москва"
795,"Республика Саха"
796,"Иркутская область"
797,"Республика Коми"
798,"Республика Башкортостан"
799,"Республика Башкортостан"
800,"Краснодарский край"
801,"Республика Хакасия"
802,"Пермский край"
803,"Оренбургская область"
804,"Тюменская область"
805,"Московская область"
806,"Ростовская область"
807,"Республика Тыва"
808,"Белгородская область"
809,"Вологодская область"
810,"Краснодарский край"
811,"Калужская область"
812,"Республика Коми"
813,"Москва"
814,"Нижегородская область"
815,"Москва"
816,"Республика Алтай"
817,"Свердловская область"
818,"Республика Хакасия"
819,"Калининградская область"
820,"Свердловская область"
821,"Москва"
822,"Волгоградская область"
823,"Иркутская область"
824,"Алтайский край"
825,"Москва"
826,"Москва"
827,"Москва"
828,"Владимирская область"
829,"Москва"
830,
831,"Ростовская область"
832,"Ивановская область"
833,"Свердловская область"
834,"Москва"
835,"Вологодская область"
836,
837,"Алтайский край"
838,"Свердловская область"
839,"Пермский край"
840,"Москва"
841,"Алтайский край"
842,"Челябинская область"
843,"Хабаровский край"
844,"Московская область"
845,"Новосибирская область"
846,"Республика Башкортостан"
847,"Санкт-Петербург"
848,"Пермский край"
849,"Новосибирская область"
850,"Архангельская область"
851,"Алтайский край"
852,"Алтайский край"
853,"Вологодская область"
854,"Омская область"
855,"Москва"
856,"Москва"
857,"Республика Башкортостан"
858,"Красноярский край"
859,"Саратовская область"
860,
861,"Республика Татарстан"
862,"Москва"
863,"Тверская область"
864,"Московская область"
865,"Красноярский край"
866,"Пермский край"
867,"Нижегородская область"
868,"Воронежская область"
869,"Москва"
870,"Чувашская Республика - Чувашия"
871,"Свердловская область"
872,"Республика Башкортостан"
873,"Пермский край"
874,"Новосибирская область"
875,"Санкт-Петербург"
876,
877,"Москва"
878,"Москва"
879,"Алтайский край"
880,"Республика Башкортостан"
881,"Алтайский край"
882,"Москва"
883,"Республика Башкортостан"
884,"Амурская область"
885,"Хабаровский край"
886,"Иркутская область"
887,"Республика Башкортостан"
888,"Алтайский край"
